Year,Population
1823,1009234567
1824,1014565234
1825,1020012345
1826,1025576789
1827,1031259876
1828,1037063123
1829,1042988234
1830,1049036789
1831,1055210456
1832,161510789
1833,1067939234
1834,1074497456
1835,1081186789
1836,1088008678
1837,1094964234
1838,1102054789
1839,1109281456
1840,1116646234
1841,1124150789
1842,1131796456
1843,1139584789
1844,1147517234
1845,1155595456
1846,1163820789
1847,1172194678
1848,1180718789
1849,1189394456
1850,1198222789
1851,1207205456
1852,1216343789
1853,1225639234
1854,1235093456
1855,1244708234
1856,1254485456
1857,1264426789
1858,1274534123
1859,1284809456
1860,1295254789
1861,1305872345
1862,1316663456
1863,1327630123
1864,1338774234
1865,1350097456
1866,1361602345
1867,1373290456
1868,1385163234
1869,1397222345
1870,1409469456
1871,1421906234
1872,1434534567
1873,1447356234
1874,1460372890
1875,1473586234
1876,1486997890
1877,1500609567
1878,1514422890
1879,1528439567
1880,1542661234
1881,1557089567
1882,1571726234
1883,1586573567
1884,1601633234
1885,1616906890
1886,1632396234
1887,1648103567
1888,1664030890
1889,1680180234
1890,1696553567
1891,1713152890
1892,1729980234
1893,1747037567
1894,1764327890
1895,1781852234
1896,1799612567
1897,1817610890
1898,1835849234
1899,1854329567
1900,1873053890
1901,1892024234
1902,1911242567
1903,1930710890
1904,1950431234
1905,1970405567
1906,1990635890
1907,2011123234
1908,2031869567
1909,2052876890
1910,2074147234
1911,2095682567
1912,2117484890
1913,2139556234
1914,2161898567
1915,2184513890
1916,2207403234
1917,2230568567
1918,2254011890
1919,2277735234
1920,2301740567
1921,2326029890
1922,2350605234
1923,2375468567
1924,2400621890
1925,2426067234
1926,2451806567
1927,2477841890
1928,2504175234
1929,2530808567
1930,2557743890
1931,2584983234
1932,2612528567
1933,2640381890
1934,2668545234
1935,2697020567
1936,2725809890
1937,2754915234
1938,2784338567
1939,2814081890
1940,2844147234
1941,2874536567
1942,2905251890
1943,2936295234
1944,2967668567
1945,2999373890
1946,3031413234
1947,3063788567
1948,3096501890
1949,3129555234
1950,3162950567
1951,3196689890
1952,3230775234
1953,3265208567
1954,3299991890
1955,3335127234
1956,3370616567
1957,3406461890
1958,3442665234
1959,3479228567
1960,3516153890
1961,2543130380
1962,2590270899
1963,2640278797
1964,2691979339
1965,2746072141
1966,2801002631
1967,2857866857
1968,2916108097
1969,2970292188
1970,3019233434
1971,3068370609
1972,3126686743
1973,3195779247
1974,3267212338
1975,3337111983
1976,3406417036
1977,3475448166
1978,3546810808
1979,3620655275
1980,3695390336
1981,3770163092
1982,3844800885
1983,3920251504
1984,3995517077
1985,4069437231
1986,4142505882
1987,4215772490
1988,4289657708
1989,4365582871
1990,4444007706
1991,4524627658
1992,4607984871
1993,4691884238
1994,4775836074
1995,4861730613
1996,4950063339
1997,5040984495
1998,5132293974
1999,5223704308
2000,5316175862
2001,5406245867
2002,5492686093
2003,5577433523
2004,5660727993
2005,5743219454
2006,5825145298
2007,5906481261
2008,5987312480
2009,6067758458
2010,6148898975
2011,6230746982
2012,6312407360
2013,6393898365
2014,6475751478
2015,6558176119
2016,6641416218
2017,6725948544
2018,6811597272
2019,6898305908
2020,6985603105
2021,7073125425
2022,7161697921
2023,7250593370
